ANO_LETIVO,NM_DIRETORIA,NM_MUNICIPIO,CD_REDE_ENSINO,APR_1,REP_1,ABA_1,APR_2,REP_2,ABA_2,APR_3,REP_3,ABA_3,MESORREGIAO
2013,AVARE,AVARE,1.0,0.0,0.0,0.0,94.49,3.55,1.97,78.94,15.06,6.0,ITAPETININGA
2013,AVARE,ITAI,1.0,99.19,0.0,0.81,100.0,0.0,0.0,84.79,10.97,4.24,ITAPETININGA
2013,AVARE,AGUAS DE SANTA BARBARA,1.0,0.0,0.0,0.0,89.35,7.4,3.25,78.1,10.74,11.16,ITAPETININGA
2013,AVARE,TAQUARITUBA,1.0,99.47,0.53,0.0,100.0,0.0,0.0,82.48,8.5,9.02,ITAPETININGA
2013,AVARE,CERQUEIRA CESAR,1.0,99.39,0.52,0.09,0.0,0.0,0.0,84.11,11.59,4.3,ITAPETININGA
2013,AVARE,IARAS,1.0,91.35,8.65,0.0,89.42,9.57,1.01,77.22,9.18,13.61,ITAPETININGA
2013,BARRETOS,ALTAIR,1.0,0.0,0.0,0.0,99.54,0.0,0.46,95.52,2.24,2.24,SAO JOSE DO RIO PRETO
2013,BARRETOS,BARRETOS,1.0,0.0,0.0,0.0,96.71,1.89,1.4,89.66,6.11,4.22,SAO JOSE DO RIO PRETO
2013,BARRETOS,GUAIRA,1.0,0.0,0.0,0.0,95.37,1.54,3.09,83.96,3.96,12.09,SAO JOSE DO RIO PRETO
2013,BARRETOS,OLIMPIA,1.0,98.7,0.97,0.32,98.79,1.21,0.0,95.77,2.67,1.56,SAO JOSE DO RIO PRETO
2013,BARRETOS,COLINA,1.0,95.52,4.48,0.0,93.7,4.54,1.75,86.47,3.01,10.53,SAO JOSE DO RIO PRETO
2013,BARRETOS,JABORANDI,1.0,96.85,3.15,0.0,96.97,3.03,0.0,86.83,8.98,4.19,SAO JOSE DO RIO PRETO
2013,BARRETOS,SEVERINIA,1.0,92.8,7.2,0.0,83.82,16.18,0.0,86.61,9.09,4.3,SAO JOSE DO RIO PRETO
2013,BARRETOS,GUARACI,1.0,99.05,0.54,0.41,97.15,1.33,1.52,96.36,3.64,0.0,SAO JOSE DO RIO PRETO
2013,BARRETOS,COLOMBIA,1.0,96.94,2.65,0.41,91.36,8.64,0.0,72.1,14.11,13.79,SAO JOSE DO RIO PRETO
2013,BAURU,AREALVA,1.0,0.0,0.0,0.0,96.49,2.41,1.1,95.99,2.01,2.01,BAURU
2013,BAURU,AVAI,1.0,91.03,8.97,0.0,87.98,10.62,1.4,87.83,0.0,12.17,BAURU
2013,BAURU,CABRALIA PAULISTA,1.0,0.0,0.0,0.0,95.92,3.4,0.68,93.23,6.77,0.0,BAURU
2013,BAURU,DUARTINA,1.0,98.21,1.79,0.0,0.0,0.0,0.0,94.75,0.0,5.25,BAURU
2013,BAURU,IACANGA,1.0,0.0,0.0,0.0,95.47,1.67,2.86,98.6,0.56,0.84,BAURU
2013,BAURU,AGUDOS,1.0,0.0,0.0,0.0,90.91,6.57,2.52,80.75,10.1,9.15,BAURU
2013,BAURU,BALBINOS,1.0,0.0,0.0,0.0,100.0,0.0,0.0,98.08,0.0,1.92,BAURU
2013,BAURU,LENCOIS PAULISTA,1.0,99.04,0.58,0.38,95.96,4.04,0.0,87.26,7.45,5.28,BAURU
2013,BAURU,LUCIANOPOLIS,1.0,100.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,2.0,BAURU
2013,BAURU,PRESIDENTE ALVES,1.0,99.57,0.43,0.0,98.77,0.82,0.41,94.55,0.0,5.45,BAURU
2013,BAURU,UBIRAJARA,1.0,96.92,2.77,0.31,0.0,0.0,0.0,94.12,5.88,0.0,BAURU
2013,BAURU,PIRAJUI,1.0,98.88,1.12,0.0,100.0,0.0,0.0,95.36,0.52,4.12,BAURU
2013,BAURU,PIRATININGA,1.0,98.91,1.09,0.0,97.35,2.65,0.0,92.63,5.16,2.21,BAURU
2013,BAURU,PAULISTANIA,1.0,0.0,0.0,0.0,99.05,0.0,0.95,96.05,2.63,1.32,BAURU
2013,BAURU,REGINOPOLIS,1.0,96.12,3.88,0.0,0.0,0.0,0.0,93.26,2.25,4.49,BAURU
2013,BAURU,BAURU,1.0,98.69,0.85,0.46,93.38,4.37,2.26,84.86,8.89,6.25,BAURU
2013,BIRIGUI,BURITAMA,1.0,0.0,0.0,0.0,99.25,0.5,0.25,93.74,3.65,2.61,ARACATUBA
2013,BIRIGUI,GABRIEL MONTEIRO,1.0,0.0,0.0,0.0,100.0,0.0,0.0,91.23,8.77,0.0,ARACATUBA
2013,BIRIGUI,BREJO ALEGRE,1.0,0.0,0.0,0.0,98.4,1.6,0.0,93.55,6.45,0.0,ARACATUBA
2013,BIRIGUI,TURIUBA,1.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,ARACATUBA
2013,BIRIGUI,LOURDES,1.0,0.0,0.0,0.0,96.9,1.55,1.55,96.47,2.35,1.18,ARACATUBA
2013,BIRIGUI,COROADOS,1.0,95.99,4.01,0.0,0.0,0.0,0.0,88.24,7.65,4.12,ARACATUBA
2013,BIRIGUI,GLICERIO,1.0,0.0,0.0,0.0,89.39,6.82,3.79,80.92,17.76,1.32,ARACATUBA
2013,BIRIGUI,PIACATU,1.0,0.0,0.0,0.0,92.63,3.12,4.25,82.48,7.26,10.26,ARACATUBA
2013,BIRIGUI,BILAC,1.0,0.0,0.0,0.0,91.62,7.78,0.6,83.21,5.6,11.19,ARACATUBA
2013,BIRIGUI,BIRIGUI,1.0,0.0,0.0,0.0,96.03,2.8,1.17,87.13,7.41,5.45,ARACATUBA
2013,BOTUCATU,LARANJAL PAULISTA,1.0,98.82,1.18,0.0,100.0,0.0,0.0,80.84,11.3,7.85,BAURU
2013,BOTUCATU,PEREIRAS,1.0,0.0,0.0,0.0,91.63,6.94,1.44,86.16,10.03,3.81,BAURU
2013,BOTUCATU,PORANGABA,1.0,90.51,8.39,1.09,0.0,0.0,0.0,83.33,10.13,6.54,BAURU
2013,BOTUCATU,TORRE DE PEDRA,1.0,0.0,0.0,0.0,94.56,5.44,0.0,79.8,20.2,0.0,BAURU
